active_dim_1,active_dim_2,c,epochs,final_train_mse,final_val_mse,init_method,inp_dim,linear_readout,lmda,load_model,lr,model_path,model_scaling,n_train1,n_train2,one_task,overlap_bool,pretrain_overlap,same_signs,save_path,scaling,seed,threshold,w_scaling
40,10,1e-05,100000,9.929920774531807e-11,1.3696883916854858,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,64,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.9109588591606e-11,1.5288985967636108,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,64,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.936311495817307e-11,1.453065276145935,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,64,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.979606030441346e-11,0.1955733150243759,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,128,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=128--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.984376520000282e-11,0.2483772188425064,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,128,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=128--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.993944560804376e-11,0.1802137196063995,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,128,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=128--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.1566150217659e-09,7.411875412799418e-05,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,256,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=256--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,4.930802433023018e-08,1.6881840565474704e-05,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,256,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=256--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,3.0523576555197e-08,2.346077053516637e-05,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,256,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=256--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.018530366944332e-11,1.3470538854599,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,16,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=16--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.159362157618034e-11,1.350918173789978,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,16,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=16--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,8.994307382215183e-11,1.3503316640853882,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,16,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=16--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.845373127870259e-11,1.7571210861206057,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,32,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.92390197795956e-11,1.9836211204528809,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,32,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.889915275618222e-11,1.9174177646636963,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,32,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.896251873531267e-11,1.3042585849761963,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,64,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.953834978482232e-11,1.3878376483917236,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,64,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.905620768080324e-11,1.347399115562439,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,64,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.984414683916754e-11,0.8611581325531006,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,128,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=128--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.981140913772888e-11,1.0286401510238647,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,128,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=128--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,9.98195900936416e-11,0.9125816226005554,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,128,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=128--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,1.0702323749445242e-10,0.0013482253998517,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,256,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=256--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,1.2240926494655469e-08,0.0003287978179287,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,256,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=256--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,20,1e-05,100000,3.104843049328565e-09,0.0004926117253489,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,256,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=256--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,30,1e-05,100000,9.23655180118388e-11,1.422664761543274,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,16,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=16--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,30,1e-05,100000,9.140069257007608e-11,1.4291250705718994,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,16,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=16--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,30,1e-05,100000,8.880799567956288e-11,1.42814040184021,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,16,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=16--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,30,1e-05,100000,9.824794450219444e-11,1.8696438074111936,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,32,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,30,1e-05,100000,9.857914484712179e-11,2.08239483833313,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,32,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,30,1e-05,100000,9.761127323093531e-11,2.024777173995972,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,32,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,30,1e-05,100000,9.898885183767804e-11,1.404009222984314,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,64,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,30,1e-05,100000,9.941925754874956e-11,1.5493074655532837,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,64,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,30,1e-05,100000,9.916003435028742e-11,1.472835898399353,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,64,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,30,1e-05,100000,9.94714935420582e-11,0.9761002659797668,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,128,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=128--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
