active_dim_1,active_dim_2,c,epochs,final_train_mse,final_val_mse,init_method,inp_dim,linear_readout,lmda,load_model,lr,model_path,model_scaling,n_train1,n_train2,one_task,pretrain_overlap,same_signs,save_path,scaling,seed,threshold,w_scaling
40.0,40.0,1e-05,1000000.0,9.990202415322004e-11,3.389210905879736e-05,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.956688251655516e-11,0.821267306804657,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.970638897849328e-11,0.7992714643478394,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.972025288851327e-11,0.8183815479278564,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.985343801810488e-11,0.4052428603172302,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.986888399593495e-11,0.4421959519386291,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.994376160005204e-11,0.3975943028926849,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.99536980961224e-11,0.0422062054276466,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.978891324369243e-11,0.0225637443363666,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,1.0002430134159468e-10,0.0248352456837892,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.998443045722284e-11,8.01452642917866e-07,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
