active_dim_1,active_dim_2,epochs,final_train_mse,final_val_mse,inp_dim,linear_readout,lr,model_path,model_scaling,n_train1,n_train2,one_task,overlap,save_path,scaling,seed,threshold
40,20,100000,7.84925617836052e-08,1.3863483445675229e-06,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,512,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=512--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,30,100000,9.11099667932902e-11,1.4578897953033447,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=16--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,30,100000,9.855338073405662e-11,2.1135802268981934,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=32--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,30,100000,9.891955310425968e-11,1.4754188060760498,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=64--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,30,100000,9.975782006010904e-11,0.9475674033164978,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,128,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=128--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,30,100000,1.8331344775468487e-10,0.0040906849317252,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,256,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=256--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,30,100000,1.0108291803589965e-07,2.301130734849721e-06,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,512,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=30--one_task=True--n_train2=512--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,40,100000,9.234958631143542e-11,1.6903176307678225,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=40--one_task=True--n_train2=16--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,40,1000000,9.543658918698128e-11,1.6706031560897827,1000,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=True--n_train2=16--overlap=0/,0.001,0,1e-10
40,40,1000000,9.22187118335138e-11,1.110217809677124,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,20,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=16--pretrain_overlap=20/,0.001,0,1e-10
