alpha_pt,omega,alpha,mse_best,source
0.5,1.0,0.4750847457627118,0.0002544388416360534,imperfect_pt
0.5,1.0,0.48338983050847456,0.00023166721670668218,imperfect_pt
0.5,1.0,0.49169491525423725,0.00021116112571548028,imperfect_pt
0.5,1.0,0.5,0.00019265464046629613,imperfect_pt
1.0,1.0,0.01,0.9199579251316471,imperfect_pt
1.0,1.0,0.01830508474576271,0.8421893504421961,imperfect_pt
1.0,1.0,0.02661016949152542,0.7630390726019115,imperfect_pt
1.0,1.0,0.03491525423728813,0.682366543720553,imperfect_pt
1.0,1.0,0.043220338983050846,0.6008918246197219,imperfect_pt
1.0,1.0,0.05152542372881356,0.5198295120122469,imperfect_pt
1.0,1.0,0.059830508474576265,0.44097852366794815,imperfect_pt
1.0,1.0,0.06813559322033898,0.3664043553963964,imperfect_pt
1.0,1.0,0.07644067796610168,0.29786085883141633,imperfect_pt
1.0,1.0,0.08474576271186439,0.23650269045180794,imperfect_pt
1.0,1.0,0.09305084745762711,0.1829410352238362,imperfect_pt
1.0,1.0,0.10135593220338981,0.1374131312399208,imperfect_pt
1.0,1.0,0.10966101694915252,0.0998730638734183,imperfect_pt
1.0,1.0,0.11796610169491524,0.07000322495040533,imperfect_pt
1.0,1.0,0.12627118644067795,0.04723177907446457,imperfect_pt
1.0,1.0,0.13457627118644067,0.030722608887427186,imperfect_pt
1.0,1.0,0.14288135593220339,0.019390919037751208,imperfect_pt
1.0,1.0,0.1511864406779661,0.01201524587788662,imperfect_pt
1.0,1.0,0.1594915254237288,0.007418878116045024,imperfect_pt
1.0,1.0,0.16779661016949152,0.004631761089415014,imperfect_pt
1.0,1.0,0.17610169491525424,0.0029564598790911825,imperfect_pt
1.0,1.0,0.18440677966101693,0.00194179743692314,imperfect_pt
1.0,1.0,0.19271186440677965,0.0013154542471336891,imperfect_pt
1.0,1.0,0.20101694915254237,0.0009188257642071749,imperfect_pt
1.0,1.0,0.20932203389830506,0.0006604880159133902,imperfect_pt
1.0,1.0,0.21762711864406778,0.0004873921541798862,imperfect_pt
1.0,1.0,0.2259322033898305,0.0003682188954622743,imperfect_pt
1.0,1.0,0.23423728813559322,0.00028407179031176064,imperfect_pt
1.0,1.0,0.2425423728813559,0.00022326846653666265,imperfect_pt
1.0,1.0,0.25084745762711863,0.00017839399361364527,imperfect_pt
1.0,1.0,0.2591525423728813,0.00014464395520001475,imperfect_pt
1.0,1.0,0.26745762711864407,0.00011881600709521096,imperfect_pt
1.0,1.0,0.27576271186440676,9.874506295827315e-05,imperfect_pt
1.0,1.0,0.28406779661016945,8.292134912105118e-05,imperfect_pt
1.0,1.0,0.2923728813559322,7.02890850369859e-05,imperfect_pt
1.0,1.0,0.3006779661016949,6.0087137883727435e-05,imperfect_pt
1.0,1.0,0.3089830508474576,5.175892900789922e-05,imperfect_pt
1.0,1.0,0.31728813559322033,4.4895770109179615e-05,imperfect_pt
1.0,1.0,0.325593220338983,3.918703107438132e-05,imperfect_pt
1.0,1.0,0.3338983050847457,3.440220474207388e-05,imperfect_pt
1.0,1.0,0.34220338983050846,3.0361796899302056e-05,imperfect_pt
1.0,1.0,0.35050847457627116,2.692413003958694e-05,imperfect_pt
1.0,1.0,0.35881355932203385,2.398261327380095e-05,imperfect_pt
1.0,1.0,0.3671186440677966,2.1449745596027238e-05,imperfect_pt
1.0,1.0,0.3754237288135593,1.925671084156272e-05,imperfect_pt
1.0,1.0,0.383728813559322,1.734814767314383e-05,imperfect_pt
1.0,1.0,0.3920338983050847,1.5679182657524428e-05,imperfect_pt
1.0,1.0,0.4003389830508474,1.4213192350657743e-05,imperfect_pt
1.0,1.0,0.4086440677966101,1.2920967488311272e-05,imperfect_pt
1.0,1.0,0.41694915254237286,1.1776665186277856e-05,imperfect_pt
1.0,1.0,0.42525423728813555,1.0758829334110485e-05,imperfect_pt
1.0,1.0,0.4335593220338983,9.851784866537e-06,imperfect_pt
1.0,1.0,0.441864406779661,9.040155170660466e-06,imperfect_pt
1.0,1.0,0.4501694915254237,8.311658149484489e-06,imperfect_pt
1.0,1.0,0.45847457627118643,7.65586824173525e-06,imperfect_pt
1.0,1.0,0.4667796610169491,7.063896492656809e-06,imperfect_pt
1.0,1.0,0.4750847457627118,6.528132118908416e-06,imperfect_pt
1.0,1.0,0.48338983050847456,6.042032665759106e-06,imperfect_pt
1.0,1.0,0.49169491525423725,5.5999570149805e-06,imperfect_pt
1.0,1.0,0.5,5.197321861933529e-06,imperfect_pt
0.01,0.0,0.01,1.075340258086629,imperfect_pt
0.01,0.0,0.01830508474576271,1.0845980920149165,imperfect_pt
0.01,0.0,0.02661016949152542,1.0833963449265285,imperfect_pt
0.01,0.0,0.03491525423728813,1.0761337284624768,imperfect_pt
0.01,0.0,0.043220338983050846,1.064641507681669,imperfect_pt
0.01,0.0,0.05152542372881356,1.0498438864541626,imperfect_pt
0.01,0.0,0.059830508474576265,1.0323035898984647,imperfect_pt
0.01,0.0,0.06813559322033898,1.0124611653958013,imperfect_pt
