curve,sigma0_pt,alpha,mse
tiny_noise,1e-06,0.12627118644067795,0.07967070000991676
tiny_noise,1e-06,0.13457627118644067,0.058318195152585996
tiny_noise,1e-06,0.14288135593220339,0.04192076087391731
tiny_noise,1e-06,0.1511864406779661,0.02972086324069241
tiny_noise,1e-06,0.1594915254237288,0.020902875494383147
tiny_noise,1e-06,0.16779661016949152,0.014678521873669942
tiny_noise,1e-06,0.17610169491525424,0.010356604412445583
tiny_noise,1e-06,0.18440677966101693,0.007380803877299749
tiny_noise,1e-06,0.19271186440677965,0.005333297412315521
tiny_noise,1e-06,0.20101694915254237,0.003916418635699761
tiny_noise,1e-06,0.20932203389830506,0.0029256522102381584
tiny_noise,1e-06,0.21762711864406778,0.0022233830152784636
tiny_noise,1e-06,0.2259322033898305,0.0017179776413070544
tiny_noise,1e-06,0.23423728813559322,0.00134841503625045
tiny_noise,1e-06,0.2425423728813559,0.001073872223557286
tiny_noise,1e-06,0.25084745762711863,0.0008667614529952395
tiny_noise,1e-06,0.2591525423728813,0.0007082142320595571
tiny_noise,1e-06,0.26745762711864407,0.0005851684370448458
tiny_noise,1e-06,0.27576271186440676,0.0004884424145772773
tiny_noise,1e-06,0.28406779661016945,0.00041148653159783717
tiny_noise,1e-06,0.2923728813559322,0.00034959219060295787
tiny_noise,1e-06,0.3006779661016949,0.00029929421139807415
tiny_noise,1e-06,0.3089830508474576,0.00025803230099420097
tiny_noise,1e-06,0.31728813559322033,0.00022388630935516138
tiny_noise,1e-06,0.325593220338983,0.0001954030018538557
tiny_noise,1e-06,0.3338983050847457,0.00017146226414720578
tiny_noise,1e-06,0.34220338983050846,0.00015119947370696553
tiny_noise,1e-06,0.35050847457627116,0.00013393865852029044
tiny_noise,1e-06,0.35881355932203385,0.00011914924154016366
tiny_noise,1e-06,0.3671186440677966,0.00010640425962856503
tiny_noise,1e-06,0.3754237288135593,9.536374317090394e-05
tiny_noise,1e-06,0.383728813559322,8.575308597167797e-05
tiny_noise,1e-06,0.3920338983050847,7.734892134592066e-05
tiny_noise,1e-06,0.4003389830508474,6.996836556091565e-05
tiny_noise,1e-06,0.4086440677966101,6.346274706247844e-05
tiny_noise,1e-06,0.41694915254237286,5.770314519372686e-05
tiny_noise,1e-06,0.42525423728813555,5.258943027498188e-05
tiny_noise,1e-06,0.4335593220338983,4.803242848339714e-05
tiny_noise,1e-06,0.441864406779661,4.395876266020753e-05
tiny_noise,1e-06,0.4501694915254237,4.0306356855447424e-05
tiny_noise,1e-06,0.45847457627118643,3.702245939378611e-05
tiny_noise,1e-06,0.4667796610169491,3.406205049059085e-05
tiny_noise,1e-06,0.4750847457627118,3.138655258925807e-05
tiny_noise,1e-06,0.48338983050847456,2.8962780384680374e-05
tiny_noise,1e-06,0.49169491525423725,2.676208511290157e-05
tiny_noise,1e-06,0.5,2.476013191702191e-05
huge_noise,100.0,0.01,1.002178601104906
huge_noise,100.0,0.01830508474576271,0.9984929804875233
huge_noise,100.0,0.02661016949152542,0.9947195331732477
huge_noise,100.0,0.03491525423728813,0.9908786349375741
huge_noise,100.0,0.043220338983050846,0.9869793048106489
huge_noise,100.0,0.05152542372881356,0.983026682791904
huge_noise,100.0,0.059830508474576265,0.9790241480969529
huge_noise,100.0,0.06813559322033898,0.9749741400061562
huge_noise,100.0,0.07644067796610168,0.970878539148303
huge_noise,100.0,0.08474576271186439,0.9667388675108832
huge_noise,100.0,0.09305084745762711,0.9625564030468357
huge_noise,100.0,0.10135593220338981,0.9583322499423732
huge_noise,100.0,0.10966101694915252,0.9540673842964891
huge_noise,100.0,0.11796610169491524,0.9497626840711036
huge_noise,100.0,0.12627118644067795,0.9454189517433537
huge_noise,100.0,0.13457627118644067,0.9410369296300253
huge_noise,100.0,0.14288135593220339,0.936617310126707
huge_noise,100.0,0.1511864406779661,0.9321607471855629
huge_noise,100.0,0.1594915254237288,0.9276678597182374
huge_noise,100.0,0.16779661016949152,0.9231392410206716
huge_noise,100.0,0.17610169491525424,0.9185754583127873
huge_noise,100.0,0.18440677966101693,0.9139770618146438
huge_noise,100.0,0.19271186440677965,0.9093445821763259
huge_noise,100.0,0.20101694915254237,0.9046785348008066
huge_noise,100.0,0.20932203389830506,0.8999794257521249
huge_noise,100.0,0.21762711864406778,0.8952477463519288
huge_noise,100.0,0.2259322033898305,0.890483977393663
huge_noise,100.0,0.23423728813559322,0.885688595958666
huge_noise,100.0,0.2425423728813559,0.880862066234891
huge_noise,100.0,0.25084745762711863,0.8760048468965519
huge_noise,100.0,0.2591525423728813,0.871117390067554
huge_noise,100.0,0.26745762711864407,0.8662001417844258
huge_noise,100.0,0.27576271186440676,0.8612535392730267
huge_noise,100.0,0.28406779661016945,0.8562780231997421
huge_noise,100.0,0.2923728813559322,0.8512740200691004
huge_noise,100.0,0.3006779661016949,0.846241953852247
huge_noise,100.0,0.3089830508474576,0.8411822430421054
huge_noise,100.0,0.31728813559322033,0.8360953004636965
huge_noise,100.0,0.325593220338983,0.8309815329813839
huge_noise,100.0,0.3338983050847457,0.8258413410998857
huge_noise,100.0,0.34220338983050846,0.8206751184541843
huge_noise,100.0,0.35050847457627116,0.8154832511816599
huge_noise,100.0,0.35881355932203385,0.8102661171678655
huge_noise,100.0,0.3671186440677966,0.805024092686113
huge_noise,100.0,0.3754237288135593,0.7997575219748867
