pt_mode,alpha_pt,sigma0_pt,alpha_ft,alpha_ft_req,seed,inp_dim,rho_pt,rho_ft,omega,emp_omega,c_pt,lambda_pt,gamma_reinit,a_pt,n_train_pt,n_train_ft,pt_param_mse,pt_stop,pt_epoch,ft_param_mse,ft_pred_mse,ft_stop,ft_epoch,wall_s
underdetermined,0.2,0.0,0.05,0.05,1,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,200,50,0.0724991051707532,train_pred_mse,18000,1.3542722594764474,1.3693355712489854,train_pred_mse,2000,6.4611289501190186
underdetermined,0.2,0.0,0.05,0.05,2,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,200,50,0.0770651512194802,train_pred_mse,18000,1.0166582401222366,1.046219464879157,train_pred_mse,2000,6.418284893035889
underdetermined,0.2,0.0,0.1,0.1,0,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,200,100,0.0696603099848463,train_pred_mse,18000,1.226204484947614,1.2204360692723557,train_pred_mse,4000,8.8817720413208
underdetermined,0.2,0.0,0.1,0.1,1,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,200,100,0.0724991051707532,train_pred_mse,18000,1.2174165230669651,1.225272312837226,train_pred_mse,4000,9.749328136444092
underdetermined,0.2,0.0,0.1,0.1,2,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,200,100,0.0770651512194802,train_pred_mse,18000,0.9521523555787232,0.9760855876877942,train_pred_mse,4000,8.516998767852783
underdetermined,0.2,0.0,0.15,0.15,0,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,200,150,0.0696603099848463,train_pred_mse,18000,1.1175653210586245,1.1144554424831972,train_pred_mse,4000,8.22368574142456
underdetermined,0.2,0.0,0.15,0.15,1,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,200,150,0.0724991051707532,train_pred_mse,18000,1.100206446116576,1.102393190712491,train_pred_mse,4000,7.368603229522705
underdetermined,0.2,0.0,0.15,0.15,2,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,200,150,0.0770651512194802,train_pred_mse,18000,0.7934726374414477,0.8156728593580256,train_pred_mse,4000,7.834245204925537
noisy,1.0,0.01,0.05,0.05,0,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,50,0.0001272024912022,train_pred_mse,28000,1.5788416735560786,1.5682286453873349,train_pred_mse,2000,23.75764298439026
noisy,1.0,0.01,0.05,0.05,1,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,50,0.0001445238401438,train_pred_mse,32000,1.696410885205963,1.7377969240978672,train_pred_mse,2000,22.72837495803833
