alpha_pt,alpha,mse_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,reliability_score_db,s2_pt,gp_pt,pt_oracle
0.01,1.5969620253164556,1.6666887080411228e-11,3.589971358563193e-10,1.6666887080411228e-11,13.332364906659421,5.757532515522837e-08,1.0168126157420982e-13,0.0061007950125081785,0.026495416091551816,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.6221518987341772,1.5679032667839543e-11,2.3571939565612347e-10,1.5679032667839543e-11,11.770760539859523,5.369304836096753e-08,9.609937623983015e-14,0.006129164871053997,0.026618624821740065,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.6473417721518988,1.4785942972626718e-11,1.5494159894304519e-10,1.4785942972626718e-11,10.203190065708924,5.019551870226825e-08,9.104771808614703e-14,0.006157721442230913,0.026742644434582182,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.6725316455696202,1.3974278292122351e-11,1.027211696180155e-10,1.3974278292122351e-11,8.663305679728552,4.7048434813730866e-08,8.64532642376334e-14,0.006186599581773698,0.02686806060109282,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.6977215189873418,1.323181631494066e-11,6.934857632225096e-11,1.323181631494066e-11,7.194180863969962,4.423229501178761e-08,8.224968834827552e-14,0.006216054273320252,0.02699598070114113,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.7229113924050632,1.2546674668946272e-11,4.820742490364744e-11,1.2546674668946272e-11,5.845852963621894,4.174879103268999e-08,7.837337240538542e-14,0.006246545357501293,0.027128401797211866,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.7481012658227848,1.1906302489317788e-11,3.488067410541546e-11,1.1906302489317788e-11,4.668079575744258,3.963422733065728e-08,7.475828422138875e-14,0.006278883329939006,0.027268843827068245,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.7732911392405064,1.1296059549510473e-11,2.6476169305087465e-11,1.1296059549510473e-11,3.699281763871724,3.7986532741081994e-08,7.132874299048558e-14,0.0063144800784603414,0.027423438541633382,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.7984810126582278,1.0697134787998073e-11,2.1134456751665904e-11,1.0697134787998073e-11,2.957236209178845,3.701909649977363e-08,6.798865295332305e-14,0.0063557816462782805,0.027602808971606222,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.8236708860759494,1.0083508353070784e-11,1.7680241969382144e-11,1.0083508353070784e-11,2.438765420170654,3.7168310205937286e-08,6.460528192339448e-14,0.006407024188532545,0.027825352505003436,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.8488607594936708,9.41774052484136e-12,1.5382228812051543e-11,9.41774052484136e-12,2.1307254653493857,3.930994417146007e-08,6.098541883595713e-14,0.006475589200519454,0.028123126568578887,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.8740506329113924,8.645880697545935e-12,1.3791748456323004e-11,8.645880697545935e-12,2.028100890699193,4.519853582519886e-08,5.6842719534302014e-14,0.006574543591659363,0.028552880028900468,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.899240506329114,7.693493830150168e-12,1.2636822375517075e-11,7.693493830150168e-12,2.155142712088832,5.836863998942088e-08,5.175956029022771e-14,0.006727705439547668,0.02921805348266043,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.9244303797468354,6.469415423795739e-12,1.1754101826390518e-11,6.469415423795739e-12,2.593244091063383,8.600259462206141e-08,4.5159471061573106e-14,0.006980456208681235,0.03031573612597554,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.949620253164557,4.894510964669344e-12,1.104601248804252e-11,4.894510964669344e-12,3.5349622412861237,1.4284157182278224e-07,3.6335815858960286e-14,0.007423788836361307,0.03224110526446678,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.9748101265822784,2.9919205564279825e-12,1.0454272493396735e-11,2.9919205564279825e-12,5.433437582566114,2.5945935191429355e-07,2.4657600589855973e-14,0.008241395493232741,0.03579192585893308,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,2.0,1.0852931306157951e-12,9.943812370623363e-12,1.0852931306157951e-12,9.620058668833238,4.999398534692998e-07,1.0485098232181115e-14,0.009661074908151195,0.04195751521864029,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.5,0.01,0.9217133253554958,0.9217133254823371,0.9217133253554958,5.976530936813162e-10,9.870634443132076e-07,0.015383830715137473,0.016690472288880147,0.07248580015419784,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.03518987341772152,0.698204896917366,0.6982049205450157,0.698204896917366,1.4696771355460214e-07,9.385850034959731e-07,0.011249902268749747,0.016112608660321666,0.06997617030244245,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.06037974683544304,0.4988552713369577,0.4988553496141323,0.4988552713369577,6.814670361343644e-07,9.590572336293235e-07,0.008146861218533814,0.016331111820668567,0.07092511747061325,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.08556962025316454,0.33601162030883086,0.3360117982219104,0.33601162030883086,2.2995230990474624e-06,9.087846186695003e-07,0.0055513099001925975,0.016521184282526736,0.07175059168408095,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.11075949367088607,0.21165854752939778,0.21165889064551863,0.21165854752939778,7.040269287550416e-06,9.090083292750961e-07,0.0034738349681331954,0.01641244829789218,0.0712783573029699,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.1359493670886076,0.12385967792754062,0.12386027152730968,0.12385967792754062,2.0813592504609346e-05,9.376057469312471e-07,0.00198764481789272,0.01604755357958799,0.0696936396766184,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.1611392405063291,0.06785298870577561,0.06785392383892988,0.06785298870577561,5.985298186317323e-05,9.853309139717936e-07,0.001054583755718556,0.015542185773001779,0.06749885517929899,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.18632911392405063,0.0357961060148792,0.035797335847787035,0.0357961060148792,0.00014920630484915876,9.555514983716762e-07,0.0005357453881590754,0.014966582899726149,0.06499904366298635,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.21151898734177216,0.01894070463551634,0.01894174564948089,0.01894070463551634,0.00023868921735470394,9.907038104328691e-07,0.00027178007781883244,0.014348995090140874,0.06231689388505034,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.23670886075949368,0.010388746722169226,0.01038955842733516,0.010388746722169226,0.00033931456116320646,9.601388804569844e-07,0.0001425305641087107,0.013719707287170204,0.059583931681458514,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.2618987341772152,0.005996504005136209,0.005997138790550121,0.005996504005136209,0.00045971654719068056,9.874071328908052e-07,7.857871270762982e-05,0.013104087421658434,0.05691032857604067,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.2870886075949367,0.0036469587061266824,0.0036474512162133926,0.0036469587061266824,0.0005864611820349808,9.514884364847376e-07,4.56472541082092e-05,0.012516526176050312,0.05435858250856259,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.3122784810126582,0.0023244717463709484,0.002324871827818425,0.0023244717463709484,0.0007474309549593272,9.701414646484663e-07,2.7808123047555386e-05,0.011963201140633548,0.05195552241275837,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
0.5,0.33746835443037976,0.0015415256868413821,0.0015418554885719298,0.0015415256868413821,0.0009290519990656776,9.528022041488393e-07,1.7643790317265614e-05,0.011445667411107566,0.049707901983438926,0.1,0.1,1.0,0.001,0.0,0.0,31.089281721966795,0.0029985104183978067,0.020808237282438375,False
