label,solver,omega,alpha_pt,sigma0_pt,alpha,mse_best,mse_fwd,mse_bwd,diff_db,fp_residual,reliability_db,s2_pt,gp_pt
w1.0_apt1.0,imperfect,1.0,1.0,0.0,0.29368421052631577,9.32501558739963e-05,0.0001026255470625843,9.32501558739963e-05,0.41605918778609663,9.794200686279175e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0,imperfect,1.0,1.0,0.0,0.3,8.183453944121398e-05,9.041049033820598e-05,8.183453944121398e-05,0.43282182050960927,9.691548011801429e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0,imperfect,1.0,1.0,0.0,0.3194736842105263,5.6318160916339876e-05,6.316696236749659e-05,5.6318160916339876e-05,0.4984152826312851,9.667955625250468e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0,imperfect,1.0,1.0,0.0,0.3452631578947368,3.6389813844956555e-05,4.1586704025692505e-05,3.6389813844956555e-05,0.5797466758671632,9.499629898180456e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0,imperfect,1.0,1.0,0.0,0.37105263157894736,2.462699247148642e-05,2.8878838489880522e-05,2.462699247148642e-05,0.6916834425507545,9.776900687997504e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0,imperfect,1.0,1.0,0.0,0.3968421052631579,2.0226443071834137e-10,2.0809318080789037e-05,2.0226443071834137e-10,50.12338332180869,6.352114988268259e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0,imperfect,1.0,1.0,0.0,0.4226315789473684,3.3369891676904066e-11,1.5551391466052307e-05,3.3369891676904066e-11,56.68414456868638,2.4475952214656878e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0,imperfect,1.0,1.0,0.0,0.44842105263157894,5.431281571829418e-12,1.1830852616425824e-05,5.431281571829418e-12,63.38113725806136,9.978635051814495e-06,79.70546873852247,0.0,0.0
w1.0_apt1.0,imperfect,1.0,1.0,0.0,0.47421052631578947,7.735221842597089e-13,9.272536584561245e-06,7.735221842597089e-13,70.78725781922486,4.32156754427739e-06,79.70546873852247,0.0,0.0
w1.0_apt1.0,imperfect,1.0,1.0,0.0,0.5,7.025481565899623e-14,7.314100519087271e-06,7.025481565899623e-14,80.17484826059078,1.999552760286758e-06,79.70546873852247,0.0,0.0
w1.0_oracle,oracle,1.0,1.0,0.0,0.01,7.025481565899623e-14,7.025481565899623e-14,1.0259919047574877,131.6446783555904,9.997763801433788e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.035789473684210524,0.7894198385775256,0.7894198385775256,0.789419882329136,2.4069679405158695e-07,8.802410069108646e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.06157894736842105,0.5090599037178444,0.5090737267331872,0.5090599037178444,0.00011792674571342587,9.308021577503212e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.08736842105263157,0.2730234749876574,0.2730577030268851,0.2730234749876574,0.0005444263300367069,9.63272633165424e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.1131578947368421,0.1209531569689221,0.12102935257622803,0.1209531569689221,0.002735018572549208,9.805858866540618e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.13894736842105262,0.041023727106760145,0.04117177778279299,0.041023727106760145,0.015645055350358206,9.6221077976133e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.16473684210526315,0.010595740739919665,0.010755683754499892,0.010595740739919665,0.06506701040047602,9.705661496942075e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.19052631578947368,0.002701729093385829,0.002783933954419612,0.002701729093385829,0.13017128451366844,9.867276699596084e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.2,0.0017226579416677345,0.0017857541184907668,0.0017226579416677345,0.15622609774742813,9.826606451319997e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.2163157894736842,0.0008617878725925033,0.0009023772275003011,0.0008617878725925033,0.19987748632212998,9.757121561385085e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.24210526315789474,0.0003487631710400964,0.0003715928925299913,0.0003487631710400964,0.2753678091443703,9.991376089121123e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.26789473684210524,0.00016914488841033475,0.00018314871578744218,0.00016914488841033475,0.3454499993743312,9.915816618508155e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.29368421052631577,9.325015587501697e-05,0.00010262554706440166,9.325015587501697e-05,0.41605918781546336,9.794200684102791e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.3,8.183453944523862e-05,9.041049033859476e-05,8.183453944523862e-05,0.4328218203147003,9.691548002448841e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.3194736842105263,5.6318160947760055e-05,6.316696236752948e-05,5.6318160947760055e-05,0.498415280210601,9.667955521435595e-05,79.70546867010192,,
