rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,seed,ft_teacher_norm,alpha,mse_best,active_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,reliability_score_db,rho_pt_emp,rho_ft_emp,experiment
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1030379746835443,0.8502240698867819,0.9998875,0.8502242081583021,0.8502240698867819,7.062909116450911e-07,8.736327270497669e-07,0.0125092300181202,0.0147128627160438,0.0638971509057793,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1092405063291139,0.8163878531657943,0.9998875,0.8163878538987019,0.8163878531657943,3.898855016615244e-09,9.55433535843042e-07,0.0119425237960778,0.0146284927559456,0.063530736824689,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1154430379746835,0.7829666373547873,0.999875,0.7829668279269597,0.7829666373547873,1.0570620618821636e-06,9.35417762804036e-07,0.0113853247129671,0.0145412641736969,0.0631519079053404,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1216455696202531,0.7500107155690737,0.9998875,0.7500109276271705,0.7500107155690737,1.2279244325785754e-06,9.293603850935028e-07,0.0108355141945334,0.0144471458468589,0.062743157205423,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1278481012658227,0.7175667424361291,0.9998875,0.7175669803552759,0.7175667424361291,1.4399629946204584e-06,9.342259463807068e-07,0.0102931836131676,0.0143445661628943,0.0622976592984111,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1340506329113924,0.6856877355879575,0.9998875,0.6856880038180275,0.6856877355879575,1.698890186974111e-06,9.469951693930055e-07,0.0097602587424173,0.0142342618014717,0.0618186135434542,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.140253164556962,0.6544307373633884,0.9998875,0.6544310404922651,0.6544307373633884,2.011628739806426e-06,9.656430943749683e-07,0.0092395892427511,0.0141185135648978,0.0613159253391136,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1464556962025316,0.6238500541225271,0.9998875,0.6238503773304374,0.6238500541225271,2.250017846705532e-06,9.894407648758374e-07,0.0087340117457925,0.0140001779082592,0.0608020001122079,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1526582278481012,0.5939907332894062,0.9998875,0.5939910789570096,0.5939907332894062,2.5273372239453806e-06,9.054644793948796e-07,0.0082456541672891,0.0138817892353745,0.0602878446386714,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1588607594936709,0.5648838620921239,0.9998875,0.5648842570573863,0.5648838620921239,3.0365741623405995e-06,9.422231683764436e-07,0.007775626397872,0.0137650000640379,0.0597806357120958,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1650632911392405,0.5365443947955599,0.9998875,0.536544849009319,0.5365443947955599,3.6765353916834434e-06,9.890171903670364e-07,0.0073241056846753,0.0136505119720168,0.0592834202460117,0.2986616556099469,0.0989125,0.101325,exp1
