alpha,n_train,seed,test_pred_mse,param_mse,train_pred_mse,is_success
0.45,450,0,0.02086494117975235,0.21190646290779114,9.970921382773668e-06,False
0.45,450,1,0.014635978266596794,0.14949244260787964,9.970089195121545e-06,False
0.45,450,2,0.02082175947725773,0.21286959946155548,9.969137863663491e-06,False
0.45,450,3,0.015372811816632748,0.15313372015953064,9.981245057133492e-06,False
0.45,450,4,0.010868429206311703,0.10909083485603333,9.983149539039005e-06,False
0.45,450,5,0.02045300230383873,0.20628246665000916,9.965675417333841e-06,False
0.5,500,0,0.016107315197587013,0.16412653028964996,9.980363756767474e-06,False
0.5,500,1,0.011459826491773129,0.11605829000473022,9.978853995562531e-06,False
0.5,500,2,0.01696481555700302,0.17250020802021027,9.983001291402616e-06,False
0.5,500,3,0.012885208241641521,0.1279057264328003,9.989003046939615e-06,False
0.5,500,4,0.008666652254760265,0.08676742017269135,9.984380085370503e-06,False
0.5,500,5,0.015260858461260796,0.1544361561536789,9.981436960515566e-06,False
0.55,550,0,0.013274152763187885,0.13372206687927246,9.99168332782574e-06,False
0.55,550,1,0.009356883354485035,0.09451740980148315,9.992318155127577e-06,False
0.55,550,2,0.013025066815316677,0.1323937475681305,9.989827049139421e-06,False
0.55,550,3,0.010400846600532532,0.10364088416099548,9.992392733693123e-06,False
0.55,550,4,0.006930261384695768,0.07005413621664047,9.98724590317579e-06,False
0.55,550,5,0.012109505943953991,0.12170686572790146,9.986099939851556e-06,False
0.6,600,0,0.00982609298080206,0.09946071356534958,9.992561899707653e-06,False
0.6,600,1,0.007289568427950144,0.0742272362112999,9.992523700930178e-06,False
0.6,600,2,0.010092982091009617,0.1032533347606659,9.99302210402675e-06,False
0.6,600,3,0.008709645830094814,0.08684322237968445,9.99293024506187e-06,False
0.6,600,4,0.005700233858078718,0.058043573051691055,9.992970262828749e-06,False
0.6,600,5,0.009042642079293728,0.09044156223535538,9.990029866457917e-06,False
0.65,650,0,0.007408777717500925,0.07465868443250656,9.994908396038227e-06,False
0.65,650,1,0.0057001868262887,0.057816047221422195,9.994903848564718e-06,False
0.65,650,2,0.007954309694468975,0.08125332742929459,9.996514563681558e-06,False
0.65,650,3,0.007228860631585121,0.07254767417907715,9.99538224277785e-06,False
0.65,650,4,0.004342350177466869,0.044169679284095764,9.994825632020365e-06,False
0.65,650,5,0.00659516965970397,0.06647585332393646,9.995213986258022e-06,False
0.7,700,0,0.0056207855232059956,0.057141534984111786,9.99731582851382e-06,False
0.7,700,1,0.004396418575197458,0.04425913095474243,9.996500921261031e-06,False
0.7,700,2,0.006047551520168781,0.062005579471588135,9.997415872931015e-06,False
0.7,700,3,0.006066168192774057,0.06083007901906967,9.995993423217442e-06,False
0.7,700,4,0.0033757227938622236,0.03444670885801315,9.997635061154142e-06,False
0.7,700,5,0.0042955148965120316,0.042825646698474884,9.997937922889832e-06,False
0.75,750,0,0.004436612594872713,0.04529188573360443,9.9971002782695e-06,False
0.75,750,1,0.003286267863586545,0.03326811268925667,9.99784424493555e-06,False
0.75,750,2,0.005092674866318703,0.052468448877334595,9.998594578064512e-06,False
0.75,750,3,0.004152709152549505,0.0410730205476284,9.997265806305222e-06,False
0.75,750,4,0.0024155082646757364,0.024712909013032913,9.998381756304298e-06,False
0.75,750,5,0.00304335355758667,0.03011867217719555,9.998128916777205e-06,False
0.8,800,0,0.003098620567470789,0.03105154260993004,9.998903806263115e-06,False
0.8,800,1,0.0020947230514138937,0.021045681089162827,9.998896530305501e-06,False
0.8,800,2,0.003282661084085703,0.03369054198265076,9.998586392612197e-06,False
0.8,800,3,0.0031741668935865164,0.03119843639433384,9.998289897339419e-06,False
0.8,800,4,0.001893312786705792,0.019322331994771957,9.998832865676377e-06,False
0.8,800,5,0.0022898693569004536,0.022821106016635895,9.998425412049983e-06,False
0.85,850,0,0.0020830940920859575,0.020921872928738594,9.999437679653056e-06,False
0.85,850,1,0.0014401004882529378,0.014266438782215118,9.999202120525297e-06,False
0.85,850,2,0.002401635516434908,0.02470899000763893,9.99896292341873e-06,False
0.85,850,3,0.0022783612366765738,0.022412480786442757,9.999098438129295e-06,False
0.85,850,4,0.0013277879916131496,0.013566342182457447,9.999269423133228e-06,False
0.85,850,5,0.0013805599883198738,0.013712555170059204,9.999144822359085e-06,False
0.9,900,0,0.0012552561238408089,0.012394536286592484,9.999685062211938e-06,False
0.9,900,1,0.0008825550321489573,0.008702618069946766,9.999721442000009e-06,False
0.9,900,2,0.0017413095338270068,0.017644790932536125,9.999602298194077e-06,False
0.9,900,3,0.0012876124819740653,0.01265762560069561,9.999545909522567e-06,False
0.9,900,4,0.0009271327871829271,0.009421160444617271,9.999623216572218e-06,False
0.9,900,5,0.0010200359392911196,0.010201161727309227,9.999325811804738e-06,False
0.95,950,0,0.0006585197406820953,0.0065437606535851955,9.999633221013937e-06,False
0.95,950,1,0.00046405268949456513,0.004607897251844406,9.999704161600675e-06,False
0.95,950,2,0.0009205769747495651,0.009372523985803127,9.999718713515904e-06,False
0.95,950,3,0.0006166837411001325,0.006104129832237959,9.999833309848327e-06,False
0.95,950,4,0.0005206156638450921,0.005287059582769871,9.999684152717236e-06,False
0.95,950,5,0.0005729825352318585,0.005762752145528793,9.999702342611272e-06,False
1.0,1000,0,0.00035021177609451115,0.003477804595604539,9.999869689636398e-06,False
1.0,1000,1,0.00029114593053236604,0.0029009701684117317,9.999675057770219e-06,False
1.0,1000,2,0.00039747048867866397,0.00405351584777236,9.999815119954292e-06,False
1.0,1000,3,0.0003766695153899491,0.0037608188576996326,9.999816938943695e-06,False
1.0,1000,4,0.00023610923381056637,0.0024031749926507473,9.999758731282782e-06,False
1.0,1000,5,0.0002959023113362491,0.002956230193376541,9.999794201576151e-06,False
