alpha,test_pred_mse_mean,test_pred_mse_median,test_pred_mse_q25,test_pred_mse_q75,test_pred_mse_count,param_mse_mean,param_mse_median,param_mse_q25,param_mse_q75,train_pred_mse_median,success_count,total_count,max_train_pred_mse_all,param_mse_mean_db,param_mse_median_db,param_mse_q25_db,param_mse_q75_db,pred_mse_from_param_mean,pred_mse_from_param_median,pred_mse_from_param_q25,pred_mse_from_param_q75,pred_mse_from_param_mean_db,pred_mse_from_param_median_db,pred_mse_from_param_q25_db,pred_mse_from_param_q75_db
0.55,1.3229812490559803e-05,1.2434576547093457e-05,9.57256747824431e-06,1.6222828890022356e-05,6,0.0001322596253885,0.0001249474371434,9.650132778915577e-05,0.0001618671049072,9.99945541479974e-06,0,6,9.999620488088112e-06,-38.785727117205255,-39.03272647464381,-40.15466711029569,-37.90841400835192,1.322596253885e-05,1.249474371434e-05,9.650132778915578e-06,1.6186710490720003e-05,-48.78572711690972,-49.032726474330985,-50.15466710989066,-47.90841400811044
0.6,1.8707618285892145e-05,1.713157780613983e-05,1.2856136663685902e-05,2.239278410343104e-05,6,0.0001870657106337,0.0001731244628899,0.0001299881951126,0.0002242994232801,3.5685314287547953e-05,0,6,5.9741767472587526e-05,-37.28005811895424,-37.61641560964069,-38.86096086384018,-36.49171843074,1.8706571063370003e-05,1.731244628899e-05,1.299881951126e-05,2.242994232801e-05,-47.2800581187453,-47.61641560941492,-48.86096086353949,-46.49171843056574
0.65,7.219911670593622e-06,6.628783012274653e-06,5.691276101060794e-06,8.39887832171371e-06,6,7.220982903769861e-05,6.649748320342042e-05,5.7655573982628994e-05,8.453730333712883e-05,9.999525445891775e-06,0,6,9.999649591918567e-06,-41.41403683223528,-41.77194791555791,-42.39158699933675,-40.72951609878768,7.220982903769862e-06,6.649748320342042e-06,5.7655573982629e-06,8.453730333712884e-06,-51.41403683169399,-51.77194791497012,-52.39158699865882,-50.72951609832532
0.7,6.139050204486314e-06,5.682416713170824e-06,4.634877086573397e-06,6.914132768542913e-06,6,6.141104374061494e-05,5.721404158975929e-05,4.687250930146547e-05,6.958873382245656e-05,9.999575013353024e-06,0,6,9.99964504444506e-06,-42.11753521289517,-42.42497372657886,-43.29081796062823,-41.5746106548068,6.141104374061495e-06,5.721404158975929e-06,4.687250930146547e-06,6.958873382245656e-06,-52.11753521225869,-52.4249737258957,-53.29081795979433,-51.57461065424512
0.75,5.109208397395075e-06,4.849563083553221e-06,3.994751864411228e-06,6.107792614784557e-06,6,5.122316664104195e-05,4.90793572680559e-05,4.010773591289762e-05,6.15738963460899e-05,9.999505891755687e-06,0,6,9.999581379815936e-06,-42.90533576733371,-43.09101133319322,-43.96771853297671,-42.106033637302616,5.122316664104196e-06,4.9079357268055904e-06,4.010773591289762e-06,6.15738963460899e-06,-52.90533576657065,-53.091011332396825,-53.96771853200217,-52.10603363666783
0.8,9.330674629381974e-06,8.356944363185903e-06,5.75658680190827e-06,1.1226177321077556e-05,6,9.34121708269231e-05,8.433304537902586e-05,5.7910843679565005e-05,0.000113253665404,2.7058226805820595e-05,0,6,5.568181586568244e-05,-40.295965351291215,-40.7400221643016,-42.37240107953091,-39.459477333380434,9.341217082692313e-06,8.433304537902587e-06,5.791084367956501e-06,1.13253665404e-05,-50.295965350872784,-50.74002216383812,-52.372401078855965,-49.45947733303531
0.85,4.083667211792393e-06,3.73351122107124e-06,3.3345426118103205e-06,4.886852138952236e-06,6,4.083674563541232e-05,3.761237348953728e-05,3.3401036489522085e-05,4.919189177599037e-05,9.999479971156688e-06,0,6,9.999649591918567e-06,-43.88948875019584,-44.2466926000172,-44.762400560887386,-43.08106475417701,4.083674563541233e-06,3.7612373489537286e-06,3.3401036489522087e-06,4.919189177599037e-06,-53.88948874923869,-54.246692598978,-54.762400559717165,-53.08106475338244
0.9,3.754616576164457e-06,3.606217319429561e-06,3.205354516921944e-06,4.398340479383478e-06,6,3.765304669893036e-05,3.6109522625338286e-05,3.244071103836177e-05,4.4332291508908384e-05,9.999610938393744e-06,0,6,9.999669600802008e-06,-44.241998770613066,-44.42378252977701,-44.88909635438469,-43.53279819695757,3.765304669893036e-06,3.6109522625338286e-06,3.2440711038361773e-06,4.433229150890838e-06,-54.241998769575005,-54.42378252869457,-54.88909635317984,-53.532798196075895
0.95,3.5530748618839425e-06,3.438847556935798e-06,3.045565904358228e-06,4.240677583311481e-06,6,3.5648286939249374e-05,3.444680623942986e-05,3.072499066547607e-05,4.271052875992609e-05,9.999468602472916e-06,0,6,9.999513167713305e-06,-44.47961335104463,-44.62851037804416,-45.125082403698585,-43.69465051927637,3.564828693924937e-06,3.4446806239429865e-06,3.0724990665476072e-06,4.271052875992609e-06,-54.47961334994818,-54.62851037690946,-55.12508240242644,-53.69465051836122
1.0,2.0189704628137406e-06,1.726574964777683e-06,8.925216690158777e-07,2.9076987289045064e-06,6,2.0188446418008727e-05,1.741900086926762e-05,8.92171124178276e-06,2.915616687459988e-05,5.640836945985939e-06,0,6,9.999600479204672e-06,-46.94897100452691,-47.58976759143147,-50.495518371015145,-45.35269572747716,2.0188446418008727e-06,1.741900086926762e-06,8.92171124178276e-07,2.915616687459988e-06,-56.94897100259082,-57.589767589187566,-60.49551836663409,-55.352695726136574
