alpha,test_pred_mse_mean,test_pred_mse_median,test_pred_mse_q25,test_pred_mse_q75,test_pred_mse_count,param_mse_mean,param_mse_median,param_mse_q25,param_mse_q75,param_mse_mean_db,param_mse_median_db,param_mse_q25_db,param_mse_q75_db,pred_mse_from_param_mean,pred_mse_from_param_median,pred_mse_from_param_q25,pred_mse_from_param_q75,pred_mse_from_param_mean_db,pred_mse_from_param_median_db,pred_mse_from_param_q25_db,pred_mse_from_param_q75_db
0.4,8.595241724833614e-05,9.031362787936814e-05,4.22381717726239e-05,0.0001253210193681,10,0.0008626635244581,0.0009142725612036,0.0004281034489395,0.001261840108782,-30.64158564615456,-30.38924313914973,-33.68451273334123,-28.989956722491907,8.626635244581001e-05,9.142725612036e-05,4.281034489395e-05,0.0001261840108782,-40.64158564610925,-40.38924313910698,-43.68451273324993,-38.98995672246093
0.5,1.4201149497239385e-05,1.3293389201862738e-05,9.385609246237436e-06,1.934459078256623e-05,10,0.0001422644698322,0.0001339738519163,9.424380004929844e-05,0.0001914731692522,-38.46903550246648,-38.72979955934791,-40.25747210803971,-37.1789207423666,1.422644698322e-05,1.339738519163e-05,9.424380004929845e-06,1.9147316925220003e-05,-48.46903550219174,-48.72979955905616,-50.25747210762496,-47.17892074216246
0.6,4.336168797181017e-06,3.850693133244931e-06,3.2790904924695496e-06,5.415917939899373e-06,10,4.337289410614176e-05,3.860671859001741e-05,3.325621582916938e-05,5.453328958537895e-05,-43.62781598076581,-44.133371100148,-44.78127169956394,-42.63338303778035,4.337289410614176e-06,3.860671859001741e-06,3.325621582916938e-06,5.453328958537896e-06,-53.62781597986463,-54.133371099135566,-54.78127169838862,-52.63338303706361
0.7,2.1142949549357583e-06,1.8641180759004785e-06,1.538277018653389e-06,2.5419401481485693e-06,10,2.1098619072290603e-05,1.8770475435303524e-05,1.5504494967899518e-05,2.527515925976332e-05,-46.75745968800687,-47.26524727019136,-48.09542375559661,-45.973060992047046,2.1098619072290605e-06,1.8770475435303525e-06,1.5504494967899518e-06,2.527515925976332e-06,-56.75745968615431,-57.26524726810902,-58.09542375307564,-55.97306099050061
0.8,1.265308247866415e-06,1.1171713936164451e-06,1.0199715916314744e-06,1.5177865577697958e-06,10,1.2631496338144645e-05,1.121829882322345e-05,1.0253532991555405e-05,1.4834222611170844e-05,-48.98545199457256,-49.500729957774894,-49.89126466822957,-48.28735207964647,1.2631496338144645e-06,1.121829882322345e-06,1.0253532991555403e-06,1.4834222611170843e-06,-58.98545199147819,-59.50072995429071,-59.89126466441757,-58.287352077011576
0.9,0.0089180451747552,8.99108641760904e-07,7.686814882390536e-07,1.2115679908220045e-06,10,0.0911779249234314,8.951957170211244e-06,7.755996875857818e-06,1.2107756447221618e-05,-10.401102959304778,-50.48082004266918,-51.103623744726114,-49.16936323613815,0.0091177924923431,8.951957170211245e-07,7.755996875857818e-07,1.210775644722162e-06,-20.401102959304357,-60.48082003830292,-61.10362373968659,-59.16936323290994
0.95,0.0172480464127488,8.889963680758228e-07,7.088618758643861e-07,1.141316403163728e-06,10,0.1750509728370161,8.766035989538068e-06,7.151324780352297e-06,1.1425845968915382e-05,-7.56835471322403,-50.57196750604259,-51.456134977882265,-49.42111634893594,0.0175050972837016,8.766035989538069e-07,7.151324780352298e-07,1.1425845968915385e-06,-17.568354713223805,-60.57196750158374,-61.45613497241664,-59.42111634551506
0.975,0.0156176318789732,8.289501920444309e-07,6.922269477627196e-07,1.0678565161015283e-06,10,0.1568450581125034,8.177575182344299e-06,7.001769745329511e-06,1.071754172699002e-05,-8.04529160538318,-50.87375454349241,-51.547921751395,-49.69904816919217,0.0156845058112503,8.177575182344299e-07,7.001769745329512e-07,1.071754172699002e-06,-18.04529160538293,-60.87375453871268,-61.547921745812616,-59.69904816554519
0.99,0.0137779058985813,8.024289002150908e-07,6.72480439334322e-07,1.0502170084691898e-06,10,0.1406319117741986,7.946465302666184e-06,6.810734930695617e-06,1.0546158137003658e-05,-8.519161193240896,-50.998260085106864,-51.66806021779061,-49.76905720777411,0.0140631911774198,7.946465302666184e-07,6.810734930695617e-07,1.054615813700366e-06,-18.51916119324062,-60.99826008018815,-61.66806021205166,-59.76905720406788
1.0,0.0207961828834527,8.76788163850506e-07,6.942680670363188e-07,0.0425540009320855,10,0.2112865746529223,8.694963071320672e-06,6.94500783993135e-06,0.4328557013986938,-6.751280975496202,-50.60732258114566,-51.58327259606524,-3.636568577592936,0.0211286574652922,8.694963071320672e-07,6.94500783993135e-07,0.0432855701398693,-16.751280975496016,-60.60732257665035,-61.58327259043725,-13.636568577592843
