alpha,test_pred_mse_mean,test_pred_mse_median,test_pred_mse_q25,test_pred_mse_q75,test_pred_mse_count,param_mse_mean,param_mse_median,param_mse_q25,param_mse_q75,param_mse_mean_db,param_mse_median_db,param_mse_q25_db,param_mse_q75_db,pred_mse_from_param_mean,pred_mse_from_param_median,pred_mse_from_param_q25,pred_mse_from_param_q75,pred_mse_from_param_mean_db,pred_mse_from_param_median_db,pred_mse_from_param_q25_db,pred_mse_from_param_q75_db
0.4,0.0258974326308816,0.0252028433606028,0.0201334655284881,0.0326789850369095,20,0.2596808865666389,0.2510852739214897,0.1999000236392021,0.3212483078241348,-5.855600148070367,-6.001787577855992,-6.9918715452433,-4.931591513013519,0.0259680886566638,0.0251085273921489,0.0199900023639202,0.0321248307824134,-15.855600148070216,-16.001787577855836,-16.991871545243104,-14.931591513013396
0.5,0.0149778243619948,0.0149391060695052,0.0123363665770739,0.0175725491717457,20,0.1502211716026067,0.1495951488614082,0.1233500074595213,0.1763191185891628,-8.23268855199884,-8.25082489739479,-9.088608199105298,-7.537005938402148,0.0150221171602606,0.0149595148861408,0.0123350007459521,0.0176319118589162,-18.23268855199858,-18.25082489739453,-19.088608199104986,-17.537005938401926
0.6,0.0088580137118697,0.0093200174160301,0.0075143675785511,0.0104093661066144,20,0.0889071382582187,0.0926664806902408,0.0750068798661232,0.1048008240759372,-10.51063368594468,-10.330773304053572,-11.248988999301591,-9.79635302369224,0.0088907138258218,0.009266648069024,0.0075006879866123,0.0104800824075937,-20.51063368594424,-20.330773304053157,-21.24898899930107,-19.796353023691868
0.7,0.0050789006636478,0.0050093557219952,0.0041476285550743,0.005985404131934,20,0.0508920891210436,0.0501441415399313,0.0416403682902455,0.0604537576436996,-12.933497209655886,-12.997797993435077,-13.804854380060148,-12.185766993821163,0.0050892089121043,0.0050144141539931,0.0041640368290245,0.0060453757643699,-22.93349720965512,-22.997797993434297,-23.80485438005921,-22.18576699382052
0.8,0.0158585729193873,0.0028879755409434,0.0022456297883763,0.0033399455132894,20,0.1592266701627522,0.0290267830714583,0.0226624603383243,0.0331472903490066,-7.979841870102808,-15.372010927156351,-16.446929429565138,-14.795519675479332,0.0159226670162752,0.0029026783071458,0.0022662460338324,0.0033147290349006,-17.97984187010256,-25.372010927155006,-26.44692942956341,-24.79551967547815
0.9,0.0153637054841965,0.0011054628412239,0.000887386224349,0.0013937759213149,20,0.1550675026606768,0.0111593049950897,0.0090021702926605,0.0135432118549942,-8.094792073050792,-19.52362852548624,-20.456527758383668,-18.682783278602848,0.0155067502660676,0.0011159304995089,0.000900217029266,0.0013543211854994,-18.09479207305054,-29.52362852548273,-30.456527758379327,-28.682783278599963
0.95,0.0263161959985154,0.0005027993174735,0.0004158147421549,0.0171512193919625,20,0.2642493426217697,0.00500372168608,0.0042015714570879,0.1758436050731688,-5.779860844220219,-23.00706854366443,-23.765882459121336,-7.548734211027099,0.0264249342621769,0.000500372168608,0.0004201571457087,0.0175843605073168,-15.779860844220073,-33.00706854365662,-33.765882459112035,-17.548734211026876
0.975,0.0190248367049207,0.0003091290127485,0.0002698145181057,0.0004127278516534,20,0.1910765958891715,0.0030718697234988,0.0027225374942645,0.004163006262388,-7.187925044606805,-25.12597206467632,-25.65026130510486,-23.80592935805766,0.0191076595889171,0.0003071869723498,0.0002722537494264,0.0004163006262388,-17.1879250446066,-35.1259720646636,-35.6502613050905,-33.805929358048274
0.99,0.0303919115605822,0.0002344968743273,0.0002016088947129,0.0672125723212957,20,0.3068977290473412,0.0023406033869832,0.0020197936682961,0.6885436773300171,-5.130063252073334,-26.306721708556697,-26.946929935716128,-1.6206850533914063,0.0306897729047341,0.0002340603386983,0.0002019793668296,0.0688543677330017,-15.130063252073208,-36.30672170854,-36.94692993569677,-11.620685053391348
1.0,0.0353771983132901,0.0001679409688222,0.0001474526361562,0.0735248401761055,20,0.3567644485912751,0.0016887316596694,0.0014606456388719,0.7493093311786652,-4.4761842937968845,-27.724393545633657,-28.35455133654173,-1.2533885908190507,0.0356764448591275,0.0001688731659669,0.0001460645638871,0.0749309331178665,-14.476184293796774,-37.72439354561052,-38.35455133651497,-11.253388590818998
