alpha,n_train,seed,test_pred_mse,param_mse,train_pred_mse,is_success
0.4,400,0,6.062953980290331e-05,0.0006151116103865206,9.321154692543132e-08,False
0.4,400,1,2.4286488041980192e-05,0.000247787480475381,1.1527066590133472e-07,False
0.4,400,2,7.610851025674492e-05,0.0007751849479973316,4.98047931785095e-08,False
0.4,400,3,0.00015820316912140697,0.0015799839748069644,5.143250018591061e-05,False
0.4,400,4,2.434263296891004e-05,0.000245269708102569,2.3627395421499386e-05,False
0.4,400,5,0.00012733698531519622,0.0012797386152669787,4.3230964365648106e-05,False
0.45,450,0,3.5751952964346856e-05,0.00035834795562550426,9.999458598031197e-06,False
0.45,450,1,2.0125860828557052e-05,0.00020279698946978897,9.99935218715109e-06,False
0.45,450,2,4.3112904677400365e-05,0.0004327408387325704,9.999504072766285e-06,False
0.45,450,3,5.830088775837794e-05,0.0005795464385300875,9.999684152717236e-06,False
0.45,450,4,1.079003959603142e-05,0.0001086007832782343,9.999484973377548e-06,False
0.45,450,5,3.206410110578872e-05,0.00032546246075071394,9.99918302113656e-06,False
0.5,500,0,1.947511736943852e-05,0.00019574427278712392,9.999655958381481e-06,False
0.5,500,1,1.2976652215002105e-05,0.00013012134877499193,9.999523172155023e-06,False
0.5,500,2,2.6267895009368658e-05,0.00026352808345109224,9.999615940614603e-06,False
0.5,500,3,3.473589094937779e-05,0.00034529183176346123,9.999543181038462e-06,False
0.5,500,4,7.87638873589458e-06,7.888236723374575e-05,9.999245776270982e-06,False
0.5,500,5,1.622985291760415e-05,0.0001650830963626504,9.999354006140493e-06,False
0.55,550,0,1.4124709196039476e-05,0.00014083008863963187,9.999620488088112e-06,False
0.55,550,1,9.181942004943267e-06,9.231350850313902e-05,9.999466783483513e-06,False
0.55,550,2,1.6922202121349983e-05,0.00016887944366317242,9.999483154388145e-06,False
0.55,550,3,2.2034288122085854e-05,0.00021850982739124447,9.999444046115968e-06,False
0.55,550,4,6.371289600792807e-06,6.396009848685935e-05,9.999422218243126e-06,False
0.55,550,5,1.0744443898147438e-05,0.00010906478564720601,9.99942403723253e-06,False
0.6,600,0,2.0268556909286417e-05,0.00020433150348253548,3.9017770177451894e-05,False
0.6,600,1,1.2476649317250121e-05,0.00012601178605109453,3.0006181987118907e-05,False
0.6,600,2,2.310085983481258e-05,0.0002309553965460509,4.197674570605159e-05,False
0.6,600,3,3.475060293567367e-05,0.00034246582072228193,5.9741767472587526e-05,False
0.6,600,4,7.654442015336826e-06,7.671233470318839e-05,1.9119546777801588e-05,False
0.6,600,5,1.3994598702993244e-05,0.00014191742229741067,3.235285839764401e-05,False
0.65,650,0,7.381195700872922e-06,7.367526268353686e-05,9.999423127737828e-06,False
0.65,650,1,5.876370323676383e-06,5.9319703723303974e-05,9.99953681457555e-06,False
0.65,650,2,8.738105861993972e-06,8.815798355499282e-05,9.999590474762954e-06,False
0.65,650,3,1.1422990610299166e-05,0.00011242330947425216,9.999649591918569e-06,False
0.65,650,4,4.2712294998636935e-06,4.258185072103515e-05,9.999484063882846e-06,False
0.65,650,5,5.629578026855597e-06,5.710086406907067e-05,9.999514077208005e-06,False
0.7,700,0,6.369595212163404e-06,6.387803296092898e-05,9.999607755162288e-06,False
0.7,700,1,4.995238214178244e-06,5.0550050218589604e-05,9.999277608585544e-06,False
0.7,700,2,7.095645287336083e-06,7.149230077629909e-05,9.999637768487446e-06,False
0.7,700,3,1.0021263733506203e-05,9.865577158052474e-05,9.99964504444506e-06,False
0.7,700,4,3.8378020690288395e-06,3.824344457825646e-05,9.99954227154376e-06,False
0.7,700,5,4.5147567107051145e-06,4.564666232909076e-05,9.999440408137161e-06,False
0.75,750,0,5.509636594069889e-06,5.593339665210806e-05,9.999581379815936e-06,False
0.75,750,1,4.189489573036553e-06,4.2225317884003744e-05,9.999565918406006e-06,False
0.75,750,2,6.30717795502278e-06,6.345406291075051e-05,9.999497706303373e-06,False
0.75,750,3,7.471760909538716e-06,7.386278593912721e-05,9.999509529734496e-06,False
0.75,750,4,3.247346057833056e-06,3.2461561204399914e-05,9.999266694649123e-06,False
0.75,750,5,3.929839294869453e-06,3.940187525586225e-05,9.999502253776882e-06,False
0.8,800,0,9.968377526092809e-06,0.00010085768735734746,3.042571734113153e-05,False
0.8,800,1,5.426945335784694e-06,5.461165710585192e-05,1.8612125131767243e-05,False
0.8,800,2,1.1645443919405807e-05,0.00011738565808627754,3.1881631002761424e-05,False
0.8,800,3,1.8443193766870536e-05,0.0001823126949602738,5.568181586568244e-05,False
0.8,800,4,3.7545760278590024e-06,3.7496924051083624e-05,1.3491416211763863e-05,False
0.8,800,5,6.745511200278997e-06,6.780840340070426e-05,2.369073627050966e-05,False
0.85,850,0,4.068459020345472e-06,4.0874481783248484e-05,9.999403118854389e-06,False
0.85,850,1,3.3985634217970073e-06,3.435026519582607e-05,9.99934763967758e-06,False
0.85,850,2,5.15964984515449e-06,5.1964361773571e-05,9.999649591918569e-06,False
0.85,850,3,5.813143616251182e-06,5.733640500693582e-05,9.999556823458988e-06,False
0.85,850,4,2.7489850253914483e-06,2.7410333132138476e-05,9.999232133850455e-06,False
0.85,850,5,3.3132023418147583e-06,3.308462692075409e-05,9.999601388699375e-06,False
0.9,900,0,3.847466359729879e-06,3.863463280140422e-05,9.999648682423867e-06,False
0.9,900,1,3.15214992951951e-06,3.205947723472491e-05,9.999482244893443e-06,False
0.9,900,2,4.581965185934678e-06,4.623151107807644e-05,9.999595931731164e-06,False
0.9,900,3,4.99888892591116e-06,4.9497492000227794e-05,9.999669600802008e-06,False
0.9,900,4,2.5822607767622685e-06,2.5910754629876465e-05,9.999412213801406e-06,False
0.9,900,5,3.3649682791292435e-06,3.358441244927235e-05,9.999625945056323e-06,False
0.95,950,0,3.642630190370255e-06,3.6590547097148374e-05,9.999442227126565e-06,False
0.95,950,1,2.982399564643856e-06,3.019896576006431e-05,9.99936764856102e-06,False
0.95,950,2,4.440026714291889e-06,4.4750522647518665e-05,9.999513167713303e-06,False
0.95,950,3,4.543176601146115e-06,4.5088039769325405e-05,9.999498615798075e-06,False
0.95,950,4,2.475151177350199e-06,2.495858097972814e-05,9.999354915635195e-06,False
0.95,950,5,3.2350649235013407e-06,3.230306538171135e-05,9.999494977819268e-06,False
1.0,1000,0,8.165115445990523e-07,8.136355063470546e-06,1.1957557717323652e-06,False
1.0,1000,1,6.274956945162558e-07,6.302998826868134e-06,8.912646194403351e-07,False
1.0,1000,2,1.120552042266354e-06,1.1277779776719399e-05,1.2828210174120613e-06,False
1.0,1000,3,4.117266598768765e-06,4.083184103365056e-05,9.999600479204673e-06,False
1.0,1000,4,2.332597887289012e-06,2.356022196181584e-05,9.998852874559816e-06,False
1.0,1000,5,3.0993990094430046e-06,3.102148184552789e-05,9.999353096645791e-06,False
