alpha,test_pred_mse_mean,test_pred_mse_median,test_pred_mse_q25,test_pred_mse_q75,test_pred_mse_count,param_mse_mean,param_mse_median,param_mse_q25,param_mse_q75,train_pred_mse_median,success_count,total_count,max_train_pred_mse_all,param_mse_mean_db,param_mse_median_db,param_mse_q25_db,param_mse_q75_db,pred_mse_from_param_mean,pred_mse_from_param_median,pred_mse_from_param_q25,pred_mse_from_param_q75,pred_mse_from_param_mean_db,pred_mse_from_param_median_db,pred_mse_from_param_q25_db,pred_mse_from_param_q75_db
0.55,0.0108494528103619,0.0112551762722432,0.0096178741659969,0.012796176597476,6,0.1093391850590705,0.1126738749444484,0.0967982783913612,0.1297220271080732,9.99075518848258e-06,0,6,9.992392733693125e-06,-9.612241673720936,-9.481767696923685,-10.141323667802462,-8.869862734204933,0.010933918505907,0.0112673874944448,0.0096798278391361,0.0129722027108073,-19.61224167372058,-19.48176769692333,-20.14132366780206,-18.86986273420463
0.6,0.0084435275445381,0.0088761439546942,0.0076445877784863,0.0096302302554249,6,0.0853782737006743,0.0886423923075199,0.077381232753396,0.097205925732851,9.992746072384762e-06,0,6,9.99302210402675e-06,-10.686526306265936,-10.52358531587495,-11.113643558536817,-10.123072594087482,0.0085378273700674,0.0088642392307519,0.0077381232753396,0.0097205925732851,-20.68652630626548,-20.52358531587451,-21.11364355853631,-20.12307259408708
0.65,0.0065382757845024,0.0069120151456445,0.0059239325346425,0.0073637984460219,6,0.0661535443117221,0.0695117637515068,0.0599809987470507,0.0741309318691492,9.995061191148125e-06,0,6,9.996514563681558e-06,-11.7944688263615,-11.579416918121956,-12.219863070539482,-11.300005405084203,0.0066153544311722,0.0069511763751506,0.005998099874705,0.0074130931869149,-21.79446882636091,-21.579416918121392,-22.21986307053883,-21.30000540508368
0.7,0.0049670269169534,0.0050086020492017,0.0043207408161833,0.005940860020928,6,0.0502514466643333,0.0507003329694271,0.0431840177625417,0.0599079430103302,9.997365850722416e-06,0,6,9.997937922889832e-06,-12.988514310359538,-12.94989188471192,-13.646769541525853,-12.225155920203694,0.0050251446664333,0.0050700332969427,0.0043184017762541,0.005990794301033,-22.98851431035876,-22.94989188471115,-23.646769541524947,-22.22515592020304
0.75,0.0037378543832649,0.003719488508068,0.0031040821340866,0.0043656367342919,6,0.0378221748396754,0.0371705666184425,0.0309060323052108,0.0442371694371104,9.997986580856376e-06,0,6,9.998594578064512e-06,-14.222535020982193,-14.298008185817624,-15.099567457796558,-13.542126696141024,0.0037822174839675,0.0037170566618442,0.003090603230521,0.004423716943711,-24.22253502098116,-24.29800818581657,-25.099567457795292,-23.54212669614014
0.8,0.0026388922900271,0.0026942449621856,0.0021435096277855,0.0031552803120575,6,0.0265216066812475,0.0269363243132829,0.021489537321031,0.0311617129482328,9.998709629144288e-06,0,6,9.998903806263115e-06,-15.76400169872679,-15.69661667683908,-16.677729349546166,-15.063786773307076,0.0026521606681247,0.0026936324313282,0.0021489537321031,0.0031161712948232,-25.76400169872532,-25.69661667683763,-26.677729349544347,-25.06378677330582
0.85,0.0018185898855639,0.0017615972901694,0.0013954451133031,0.0022295444505289,6,0.0182647799762586,0.0175941558554768,0.0138510260730981,0.0220398288220167,9.999173471442193e-06,0,6,9.999437679653056e-06,-17.383855550793236,-17.54631565208582,-18.58518053214764,-16.567917828666154,0.0018264779976258,0.0017594155855476,0.0013851026073098,0.0022039828822016,-27.383855550791093,-27.5463156520836,-28.58518053214481,-26.56791782866438
0.9,0.0011856503163774,0.0011376460315659,0.0009503585752099,0.0012795233924407,6,0.0118369821769495,0.0112978490069508,0.0096161607652902,0.0125918532721698,9.999612757383147e-06,0,6,9.999721442000007e-06,-19.267590063085787,-19.47004233802722,-20.16998284640918,-18.99910345615397,0.0011836982176949,0.001129784900695,0.000961616076529,0.0012591853272169,-29.267590063082487,-29.47004233802376,-30.16998284640512,-28.99910345615087
0.95,0.0006255718908505,0.0005948331381659,0.0005337073816917,0.0006480607407866,6,0.0062796872419615,0.0059334409888833,0.0054059827234596,0.0064338529482483,9.999703252105974e-06,0,6,9.999833309848327e-06,-22.02061985637368,-22.266933725589297,-22.671253465614,-21.91528869528813,0.0006279687241961,0.0005933440988883,0.0005405982723459,0.0006433852948248,-32.02061985636746,-32.26693372558271,-32.67125346560676,-31.91528869528205
1.0,0.0003245848759737,0.0003230570437153,0.0002923350257333,0.000370055080566,6,0.0032587524425859,0.0032170173944905,0.0029147851746529,0.0036900652921758,9.99980466076522e-06,0,6,9.999869689636398e-06,-24.86948630299529,-24.92546590850828,-25.353934480749164,-24.32965949347382,0.0003258752442585,0.000321701739449,0.0002914785174652,0.0003690065292175,-34.8694863029833,-34.92546590849613,-35.35393448073576,-34.329659493463225
