timestamp,active_dim_1,active_dim_2,c,epochs,final_epoch,final_train_loss,final_val_loss,init_method,inp_dim,linear_readout,lmda,load_model,lr,model_path,model_scaling,n_train1,n_train2,no_tuning,one_task,overlap,plot_ground_truth_only,save_path,save_weights,scaling,seed,threshold,w_scaling
2025-10-09 14:14:17,40,5,1e-05,100000,99999,1.1792404552846136e-10,0.0009946783538907,simple,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,False,True,5,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=yes--w_scaling=0.01--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,True,0.001,0,1e-10,0.01
2025-10-09 14:14:29,40,5,1e-05,100000,1952,9.931940686547236e-11,0.99469393491745,simple,1000,False,0.0,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,False,True,5,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=yes--w_scaling=0.01--lmda=0--c=1e-05--init_method=simple--load_model=False--linear_readout=False/,True,0.001,0,1e-10,0.01
2025-10-09 14:14:48,40,5,1e-05,100000,6708,9.989768040563618e-11,0.6563860774040222,simple,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,False,True,0,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,True,0.001,0,1e-10,1.0
2025-10-09 14:15:03,40,5,1e-05,100000,1892,9.939557510385555e-11,0.6716625094413757,simple,1000,False,0.0,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,False,True,0,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=False--linear_readout=False/,True,0.001,0,1e-10,1.0
2025-10-09 14:15:18,40,5,1e-05,100000,6708,9.989768040563618e-11,0.6563860774040222,simple,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,False,True,0,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=no--w_scaling=0.01--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,True,0.001,0,1e-10,0.01
2025-10-09 14:15:30,40,5,1e-05,100000,2150,9.97844099015488e-11,0.6704356670379639,simple,1000,False,0.0,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,False,True,0,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=no--w_scaling=0.01--lmda=0--c=1e-05--init_method=simple--load_model=False--linear_readout=False/,True,0.001,0,1e-10,0.01
2025-10-09 14:16:18,40,5,1e-05,100000,99999,1.7335974877852323e-09,2.8516167205339116e-09,simple,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,False,True,5,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=yes--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,True,0.001,0,1e-10,1.0
2025-10-09 14:16:32,40,5,1e-05,100000,10985,9.9893648908278e-11,0.0203350894153118,simple,1000,False,0.0,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,False,True,5,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=yes--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=False--linear_readout=False/,True,0.001,0,1e-10,1.0
2025-10-09 14:17:20,40,5,1e-05,100000,99999,1.7335974877852323e-09,2.8516167205339116e-09,simple,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,False,True,5,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=yes--w_scaling=0.01--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,True,0.001,0,1e-10,0.01
2025-10-09 14:17:38,40,5,1e-05,100000,14261,9.990036575757699e-11,0.0129127018153667,simple,1000,False,0.0,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,False,True,5,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=yes--w_scaling=0.01--lmda=0--c=1e-05--init_method=simple--load_model=False--linear_readout=False/,True,0.001,0,1e-10,0.01
2025-10-09 14:18:24,40,5,1e-05,100000,99999,2.3456491859974452e-08,8.030739991227165e-05,simple,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,False,True,0,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,True,0.001,0,1e-10,1.0
2025-10-09 14:18:45,40,5,1e-05,100000,9604,9.987095872521223e-11,0.0349837429821491,simple,1000,False,0.0,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,False,True,0,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=no--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=False--linear_readout=False/,True,0.001,0,1e-10,1.0
2025-10-09 14:19:34,40,5,1e-05,100000,99999,2.3456491859974452e-08,8.030739991227165e-05,simple,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,False,True,0,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=no--w_scaling=0.01--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,True,0.001,0,1e-10,0.01
2025-10-09 14:19:48,40,5,1e-05,100000,12225,9.994376160005204e-11,0.0236237589269876,simple,1000,False,0.0,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,False,True,0,False,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=no--w_scaling=0.01--lmda=0--c=1e-05--init_method=simple--load_model=False--linear_readout=False/,True,0.001,0,1e-10,0.01
